Date,Price,Open,High,Low,Vol.,Change %
12/20/2024,0.1495,0.1449,0.1529,0.1429,114.06M,3.25%
12/19/2024,0.1448,0.1421,0.15,0.1421,13.45M,1.97%
12/18/2024,0.142,0.1434,0.1435,0.1412,1.76M,0.28%
12/17/2024,0.1416,0.144,0.144,0.1412,3.03M,-0.49%
12/16/2024,0.1423,0.1483,0.1484,0.1423,14.33M,-2.06%
12/13/2024,0.1453,0.1506,0.1515,0.1445,8.39M,-1.49%
12/12/2024,0.1475,0.1513,0.1558,0.1475,3.39M,-1.40%
12/11/2024,0.1496,0.1518,0.1518,0.1455,17.03M,-1.12%
12/10/2024,0.1513,0.1553,0.1553,0.1507,10.89M,-1.82%
12/9/2024,0.1541,0.1556,0.1556,0.1534,58.08M,0.33%
12/6/2024,0.1536,0.1563,0.1563,0.1509,26.52M,-0.90%
12/5/2024,0.155,0.1564,0.1566,0.1507,50.04M,-3.31%
12/4/2024,0.1603,0.1604,0.1615,0.1596,4.75M,-0.06%
12/3/2024,0.1604,0.1646,0.1659,0.16,2.05M,-2.61%
12/2/2024,0.1647,0.1591,0.1648,0.157,21.19M,4.04%
11/29/2024,0.1583,0.1595,0.1596,0.1556,3.24M,0.76%
11/28/2024,0.1571,0.1601,0.1601,0.1537,7.75M,0.71%
11/27/2024,0.156,0.1642,0.1642,0.152,10.38M,0.39%
11/26/2024,0.1554,0.1718,0.172,0.1539,200.92M,-8.96%
11/25/2024,0.1707,0.1688,0.1728,0.1687,8.27M,0.12%
11/22/2024,0.1705,0.1703,0.1726,0.1683,20.70M,0.00%
11/21/2024,0.1705,0.1718,0.1738,0.1681,18.25M,0.29%
11/20/2024,0.17,0.1728,0.1747,0.1654,24.40M,-1.22%
11/19/2024,0.1721,0.1745,0.1796,0.1617,38.09M,-1.38%
11/18/2024,0.1745,0.1678,0.1748,0.1652,32.92M,3.87%
11/15/2024,0.168,0.1628,0.1718,0.161,18.22M,3.64%
11/14/2024,0.1621,0.1638,0.1638,0.162,13.32M,-0.92%
11/13/2024,0.1636,0.1618,0.164,0.1604,14.76M,2.00%
11/12/2024,0.1604,0.1613,0.1619,0.1587,4.35M,-0.25%
11/11/2024,0.1608,0.1583,0.1617,0.1583,6.02M,1.58%
11/8/2024,0.1583,0.1603,0.1603,0.1575,5.55M,-0.81%
11/7/2024,0.1596,0.1595,0.1602,0.158,1.19M,0.82%
11/6/2024,0.1583,0.1565,0.1627,0.1564,9.66M,1.47%
11/5/2024,0.156,0.1575,0.1576,0.1553,3.02M,-0.95%
11/2/2024,0.1575,0.1567,0.1578,0.1553,990.00K,0.45%
11/1/2024,0.1568,0.1528,0.1617,0.1525,28.12M,1.75%
